Rate,Measure Names,Max Demand Rate ($/kW),Measure Values
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),kWh Savings ($),$16.23,1898552.5
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),kWh Savings ($),$38.02,191859.983333333
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),kWh Savings ($),$15.57,2359980
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),kWh Savings ($),$36.38,254879.5
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),kWh Savings ($),$11.05,591887.5
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),kWh Savings ($),$34.91,357658.75
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),kWh Savings ($),$17.81,523416.5
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,kWh Savings ($),$9.97,159470.35
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,kWh Savings ($),$30.87,90587.0125
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,kWh Savings ($),$13.20,144760.5875
Small_General_Time-of-Day_Service_(A12),kWh Savings ($),$0.00,27809.1
Small_General_Service_Time-Of-Use_(A-1)(B),kWh Savings ($),$7.48,49195.6
Small_General_Service_Metered_(A10),kWh Savings ($),$0.00,247110.20625
Small_General_Service_(A-1)(A),kWh Savings ($),$7.48,39845.8
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,kWh Savings ($),$4.84,153173.733333333
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,kWh Savings ($),$18.90,1660.8125
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,kWh Savings ($),$15.66,0
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,kWh Savings ($),$0.00,-0.125
Schedule_SMC_-_Small_General_Service_City,kWh Savings ($),$0.00,0
Schedule_P,kWh Savings ($),$5.31,0
Schedule_MDT-Medium_Standard_General_Service_Tukwila,kWh Savings ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,kWh Savings ($),$2.32,0
Schedule_MDD_-_Medium_Network_General_Service,kWh Savings ($),$4.54,0
Schedule_MDC_-_Medium_Standard_General_Service_City,kWh Savings ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,kWh Savings ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),kWh Savings ($),$3.83,0
Schedule_LGC_-_Large_Standard_General_Service_City,kWh Savings ($),$2.08,0
Schedule_GS_Type_2_(Secondary),kWh Savings ($),$0.00,23187.95
Schedule_GL_(Secondary_Voltage),kWh Savings ($),$6.15,21715.666666667
Schedule_G_-_Secondary,kWh Savings ($),$0.00,504510.79375
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],kWh Savings ($),$41.95,454227.225
SC-9_-_General_Large_TOD_Service_[NYC],kWh Savings ($),$54.31,1832160
SC-9_-_General_Large_Low_Tension_Service_[NYC],kWh Savings ($),$21.82,300186.528571429
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),kWh Savings ($),$17.48,588098.42
Power_and_Light_Medium_Schedule_PLM-11,kWh Savings ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,kWh Savings ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,kWh Savings ($),$12.47,39552.0875
OGS-TOU-NEM,kWh Savings ($),$0.00,0
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),kWh Savings ($),$16.30,79516.666666667
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,kWh Savings ($),$16.49,24643.8
LGS-1_-_Large_General_Service,kWh Savings ($),$8.57,15765.20625
Large_Light_&_Power_-_Primary_voltage_discount,kWh Savings ($),$7.55,0
GSLD-1_(General_Service_Large_Demand),kWh Savings ($),$12.56,0
GSEDS-1_Secondary_Non-Demand,kWh Savings ($),$0.00,451835.75625
GSEDS-1_Secondary_Demand,kWh Savings ($),$9.41,46066.11875
GSEDS-1_Primary_Non-Demand,kWh Savings ($),$0.00,268996.2625
GSEDS-1_Primary_Demand,kWh Savings ($),$7.90,21562.35625
GSDT-1_(General_Service_Demand_-Time-Of-Use),kWh Savings ($),$9.20,218.333333333
GSD-1_(General_Service_Demand),kWh Savings ($),$10.60,603
GS-2_(S)_Large_General_Service_Secondary,kWh Savings ($),$11.06,631302.6875
GS-1_General_Service,kWh Savings ($),$0.00,45007.5
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),kWh Savings ($),$11.00,4613.333333333
General_Service_With_Demand_Meter_(Rate_Code_25),kWh Savings ($),$5.86,4947
General_Service_(A14),kWh Savings ($),$14.98,964.642857143
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,kWh Savings ($),$4.12,0
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,kWh Savings ($),$4.16,0
E-36_Standard_Price_Plan_for_General_Service,kWh Savings ($),$6.76,61005.61875
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,kWh Savings ($),$6.65,215759.71875
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),kWh Savings ($),$33.72,2040083.33333333
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),kWh Savings ($),$17.58,879480
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),kWh Savings ($),$17.58,386279.325
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),kWh Savings ($),$34.72,254471.041666667
BES-Small_Load_Delivery_Class_(Secondary),kWh Savings ($),$6.18,0
BES-Medium_Load_Delivery_Class_(Secondary),kWh Savings ($),$6.29,0
BES-Large_Load_Delivery_Class_(Secondary),kWh Savings ($),$6.73,0
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),kWh Savings ($),$16.78,333415.891666667
A-10_Medium_General_Demand_Service_(Secondary_Voltage),kWh Savings ($),$16.78,303249.475
A-6_Small_General_Service_TOU_Single_Phase,kWh Savings ($),$0.00,1863931.4875
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),kWh Savings ($),$0.00,127047.5
4B_Large_Power_TOU_(PNM-Owned_Transformer),kWh Savings ($),$17.47,138837.5
3B_General_Power_TOU_(PNM-Owned_Transformer),kWh Savings ($),$17.47,186380.142857143
2B_Small_Power_Service_-_TOU,kWh Savings ($),$0.00,64887.6
2A_(Small_Power_Service),kWh Savings ($),$0.00,32935
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Demand Charge Savings ($),$16.23,353350.5
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Demand Charge Savings ($),$38.02,115416.025
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Demand Charge Savings ($),$15.57,379238.75
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Demand Charge Savings ($),$36.38,192708.75
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Demand Charge Savings ($),$11.05,60440.25
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Demand Charge Savings ($),$34.91,217231.25
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Demand Charge Savings ($),$17.81,137964.25
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Demand Charge Savings ($),$9.97,9577.05
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Demand Charge Savings ($),$30.87,33647.725
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Demand Charge Savings ($),$13.20,16990.675
Small_General_Time-of-Day_Service_(A12),Demand Charge Savings ($),$0.00,0
Small_General_Service_Time-Of-Use_(A-1)(B),Demand Charge Savings ($),$7.48,3836.2
Small_General_Service_Metered_(A10),Demand Charge Savings ($),$0.00,0
Small_General_Service_(A-1)(A),Demand Charge Savings ($),$7.48,3717.1
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Demand Charge Savings ($),$4.84,5572.5975
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Demand Charge Savings ($),$18.90,5393.4375
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Demand Charge Savings ($),$15.66,0
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Demand Charge Savings ($),$0.00,0
Schedule_SMC_-_Small_General_Service_City,Demand Charge Savings ($),$0.00,0
Schedule_P,Demand Charge Savings ($),$5.31,0
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Demand Charge Savings ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Demand Charge Savings ($),$2.32,0
Schedule_MDD_-_Medium_Network_General_Service,Demand Charge Savings ($),$4.54,0
Schedule_MDC_-_Medium_Standard_General_Service_City,Demand Charge Savings ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Demand Charge Savings ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Demand Charge Savings ($),$3.83,0
Schedule_LGC_-_Large_Standard_General_Service_City,Demand Charge Savings ($),$2.08,0
Schedule_GS_Type_2_(Secondary),Demand Charge Savings ($),$0.00,0
Schedule_GL_(Secondary_Voltage),Demand Charge Savings ($),$6.15,4371.041666667
Schedule_G_-_Secondary,Demand Charge Savings ($),$0.00,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Demand Charge Savings ($),$41.95,289094.10625
SC-9_-_General_Large_TOD_Service_[NYC],Demand Charge Savings ($),$54.31,1903495
SC-9_-_General_Large_Low_Tension_Service_[NYC],Demand Charge Savings ($),$21.82,0
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Demand Charge Savings ($),$17.48,130855.46
Power_and_Light_Medium_Schedule_PLM-11,Demand Charge Savings ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,Demand Charge Savings ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Demand Charge Savings ($),$12.47,8863.95
OGS-TOU-NEM,Demand Charge Savings ($),$0.00,0
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Demand Charge Savings ($),$16.30,33680
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Demand Charge Savings ($),$16.49,9467
LGS-1_-_Large_General_Service,Demand Charge Savings ($),$8.57,4833.6375
Large_Light_&_Power_-_Primary_voltage_discount,Demand Charge Savings ($),$7.55,0
GSLD-1_(General_Service_Large_Demand),Demand Charge Savings ($),$12.56,0
GSEDS-1_Secondary_Non-Demand,Demand Charge Savings ($),$0.00,0
GSEDS-1_Secondary_Demand,Demand Charge Savings ($),$9.41,10852.59375
GSEDS-1_Primary_Non-Demand,Demand Charge Savings ($),$0.00,0
GSEDS-1_Primary_Demand,Demand Charge Savings ($),$7.90,5601.78125
GSDT-1_(General_Service_Demand_-Time-Of-Use),Demand Charge Savings ($),$9.20,190.666666667
GSD-1_(General_Service_Demand),Demand Charge Savings ($),$10.60,537.25
GS-2_(S)_Large_General_Service_Secondary,Demand Charge Savings ($),$11.06,26273.03125
GS-1_General_Service,Demand Charge Savings ($),$0.00,0
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),Demand Charge Savings ($),$11.00,4706.666666667
General_Service_With_Demand_Meter_(Rate_Code_25),Demand Charge Savings ($),$5.86,1036.5
General_Service_(A14),Demand Charge Savings ($),$14.98,732.071428571
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,Demand Charge Savings ($),$4.12,0
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,Demand Charge Savings ($),$4.16,0
E-36_Standard_Price_Plan_for_General_Service,Demand Charge Savings ($),$6.76,9682.41875
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Demand Charge Savings ($),$6.65,27774.15625
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Demand Charge Savings ($),$33.72,946783.333333333
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),Demand Charge Savings ($),$17.58,125129
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Demand Charge Savings ($),$17.58,66594.05
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Demand Charge Savings ($),$34.72,126170.808333333
BES-Small_Load_Delivery_Class_(Secondary),Demand Charge Savings ($),$6.18,0
BES-Medium_Load_Delivery_Class_(Secondary),Demand Charge Savings ($),$6.29,0
BES-Large_Load_Delivery_Class_(Secondary),Demand Charge Savings ($),$6.73,0
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Demand Charge Savings ($),$16.78,34782.65
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Demand Charge Savings ($),$16.78,30579.158333333
A-6_Small_General_Service_TOU_Single_Phase,Demand Charge Savings ($),$0.00,0
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Demand Charge Savings ($),$0.00,0
4B_Large_Power_TOU_(PNM-Owned_Transformer),Demand Charge Savings ($),$17.47,60801.5
3B_General_Power_TOU_(PNM-Owned_Transformer),Demand Charge Savings ($),$17.47,50086.35
2B_Small_Power_Service_-_TOU,Demand Charge Savings ($),$0.00,0
2A_(Small_Power_Service),Demand Charge Savings ($),$0.00,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),NPV ($),$16.23,1421200
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),NPV ($),$38.02,591068
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),NPV ($),$15.57,2263820
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),NPV ($),$36.38,251168
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),NPV ($),$11.05,553223
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),NPV ($),$34.91,360939
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),NPV ($),$17.81,469886
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,NPV ($),$9.97,333722.6
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,NPV ($),$30.87,133972.5
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,NPV ($),$13.20,273733.6
Small_General_Time-of-Day_Service_(A12),NPV ($),$0.00,2341.6
Small_General_Service_Time-Of-Use_(A-1)(B),NPV ($),$7.48,12496.4
Small_General_Service_Metered_(A10),NPV ($),$0.00,173120.1
Small_General_Service_(A-1)(A),NPV ($),$7.48,7901
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,NPV ($),$4.84,186793.6
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,NPV ($),$18.90,4917
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,NPV ($),$15.66,0
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,NPV ($),$0.00,-1.9
Schedule_SMC_-_Small_General_Service_City,NPV ($),$0.00,0
Schedule_P,NPV ($),$5.31,0
Schedule_MDT-Medium_Standard_General_Service_Tukwila,NPV ($),$2.32,0
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,NPV ($),$2.32,0
Schedule_MDD_-_Medium_Network_General_Service,NPV ($),$4.54,0
Schedule_MDC_-_Medium_Standard_General_Service_City,NPV ($),$2.32,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,NPV ($),$2.32,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),NPV ($),$3.83,0
Schedule_LGC_-_Large_Standard_General_Service_City,NPV ($),$2.08,0
Schedule_GS_Type_2_(Secondary),NPV ($),$0.00,2205.2
Schedule_GL_(Secondary_Voltage),NPV ($),$6.15,8627
Schedule_G_-_Secondary,NPV ($),$0.00,897832.2
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],NPV ($),$41.95,1403312.1
SC-9_-_General_Large_TOD_Service_[NYC],NPV ($),$54.31,1109700
SC-9_-_General_Large_Low_Tension_Service_[NYC],NPV ($),$21.82,547142.9
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),NPV ($),$17.48,1840595
Power_and_Light_Medium_Schedule_PLM-11,NPV ($),$0.00,0
Power_and_Light_Large_Schedule_PLL-11,NPV ($),$0.00,0
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,NPV ($),$12.47,16832.3
OGS-TOU-NEM,NPV ($),$0.00,0
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),NPV ($),$16.30,6590
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,NPV ($),$16.49,5204
LGS-1_-_Large_General_Service,NPV ($),$8.57,15168
Large_Light_&_Power_-_Primary_voltage_discount,NPV ($),$7.55,0
GSLD-1_(General_Service_Large_Demand),NPV ($),$12.56,0
GSEDS-1_Secondary_Non-Demand,NPV ($),$0.00,796317.8
GSEDS-1_Secondary_Demand,NPV ($),$9.41,40441
GSEDS-1_Primary_Non-Demand,NPV ($),$0.00,205139.4
GSEDS-1_Primary_Demand,NPV ($),$7.90,19017.9
GSDT-1_(General_Service_Demand_-Time-Of-Use),NPV ($),$9.20,77
GSD-1_(General_Service_Demand),NPV ($),$10.60,439
GS-2_(S)_Large_General_Service_Secondary,NPV ($),$11.06,1707220
GS-1_General_Service,NPV ($),$0.00,12507.4
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),NPV ($),$11.00,270
General_Service_With_Demand_Meter_(Rate_Code_25),NPV ($),$5.86,1473
General_Service_(A14),NPV ($),$14.98,943
E-63_STANDARD_PRICE_PLAN_FOR_PRIMARY_LARGE_GENERAL_SERVICE,NPV ($),$4.12,0
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,NPV ($),$4.16,0
E-36_Standard_Price_Plan_for_General_Service,NPV ($),$6.76,34789.8
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,NPV ($),$6.65,168349.6
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),NPV ($),$33.72,1612750
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),NPV ($),$17.58,236940
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),NPV ($),$17.58,1456003.8
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),NPV ($),$34.72,914008.6
BES-Small_Load_Delivery_Class_(Secondary),NPV ($),$6.18,0
BES-Medium_Load_Delivery_Class_(Secondary),NPV ($),$6.29,0
BES-Large_Load_Delivery_Class_(Secondary),NPV ($),$6.73,0
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),NPV ($),$16.78,1198643.2
A-10_Medium_General_Demand_Service_(Secondary_Voltage),NPV ($),$16.78,1033329.4
A-6_Small_General_Service_TOU_Single_Phase,NPV ($),$0.00,10912359
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),NPV ($),$0.00,216251.3
4B_Large_Power_TOU_(PNM-Owned_Transformer),NPV ($),$17.47,47620
3B_General_Power_TOU_(PNM-Owned_Transformer),NPV ($),$17.47,240718.1
2B_Small_Power_Service_-_TOU,NPV ($),$0.00,19410.4
2A_(Small_Power_Service),NPV ($),$0.00,4956
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_R_(under_2kV),Capital Cost ($),$16.23,4187558
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Capital Cost ($),$38.02,1713240.7
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Capital Cost ($),$15.57,4594867
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Capital Cost ($),$36.38,864962
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Capital Cost ($),$11.05,1073723
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Capital Cost ($),$34.91,1074093
