Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Fast Food,San Francisco,1,65 kWh,11 kW,87751,164109,$41K,$34.72,$0M,56 kW,32045.8,74991
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Outpatient,Atlanta,1,0 kWh,0 kW,374541,900645,$36K,$15.66,$0M,74 kW,15181,49003
Power_and_Light_Medium_Schedule_PLM-11,Retail Store,Atlanta,1,0 kWh,0 kW,0,235549,$0K,$0.00,$0M,0 kW,0,0
General_Service_(A14),Primary School,Duluth,1,0 kWh,0 kW,300907,519891,$40K,$14.98,$0M,82 kW,22187,54835
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Supermarket,San Francisco,1,903 kWh,125 kW,471299,2346650,$551K,$16.78,$0M,770 kW,225257,1325750
Large_Light_&_Power_-_Primary_voltage_discount,Retail Store,Minneapolis,1,0 kWh,0 kW,0,310972,$0K,$7.55,$0M,0 kW,0,0
Power_and_Light_Medium_Schedule_PLM-11,Primary School,Atlanta,1,0 kWh,0 kW,0,489309,$0K,$0.00,$0M,0 kW,0,0
BES-Small_Load_Delivery_Class_(Secondary),Supermarket,Chicago,1,0 kWh,0 kW,248726,1233140,$52K,$6.18,$0M,109 kW,13316,81940
BES-Small_Load_Delivery_Class_(Secondary),Small Hotel,Chicago,1,0 kWh,0 kW,97563.3,462529,$0K,$6.18,$0M,0 kW,0,0
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Primary School,Phoenix,1,0 kWh,0 kW,223594,930054,$180K,$6.65,$0M,374 kW,52747,343155
BES-Small_Load_Delivery_Class_(Secondary),Retail Store,Chicago,1,0 kWh,0 kW,80359.3,312438,$14K,$6.18,$0M,29 kW,2475,22131
Schedule_MDB-_Medium_Standard_General_Service_Burien,Primary School,Seattle,1,0 kWh,0 kW,58053.5,607265,$0K,$2.32,$0M,0 kW,0,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Hospital,Seattle,1,0 kWh,0 kW,538955,5396450,$0K,$3.83,$0M,0 kW,0,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Primary School,New York,1,873 kWh,126 kW,942290,913007,$461K,$41.95,$0M,587 kW,514560,534379
Large_Light_&_Power_-_Primary_voltage_discount,Secondary School,Minneapolis,1,0 kWh,0 kW,0,1441030,$0K,$7.55,$0M,0 kW,0,0
Schedule_SMC_-_Small_General_Service_City,Small Office,Seattle,1,0 kWh,0 kW,0,58454.4,$0K,$0.00,$0M,0 kW,0,0
Schedule_P,Large Office,Baltimore,1,0 kWh,0 kW,918765,4385150,$332K,$5.31,$0M,690 kW,66137,561850
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Large Office,Anaheim,1,"2,401 kWh",442 kW,2600780,6888430,"$2,017K",$15.57,$2M,"3,036 kW",1049090,4642500
SC-9_-_General_Large_Low_Tension_Service_[NYC],Supermarket,New York,1,0 kWh,0 kW,0,2335860,$305K,$21.82,$0M,635 kW,0,857130
SC-9_-_General_Large_Low_Tension_Service_[NYC],Warehouse,New York,1,0 kWh,0 kW,0,265798,$39K,$21.82,$0M,82 kW,0,97362
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Outpatient,San Francisco,1,659 kWh,95 kW,400082,1772560,$423K,$16.78,$0M,600 kW,190241,1044990
Schedule_MDB-_Medium_Standard_General_Service_Burien,Medium Office,Seattle,1,0 kWh,0 kW,60768.6,542370,$0K,$2.32,$0M,0 kW,0,0
GSEDS-1_Secondary_Non-Demand,Hospital,Helena,1,0 kWh,0 kW,0,8407390,"$1,005K",$0.00,$1M,"2,091 kW",0,2716250
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Strip Mall,New York,1,426 kWh,62 kW,420783,427744,$230K,$41.95,$0M,296 kW,241422,286548
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Medium Office,San Francisco,1,550 kWh,85 kW,290061,1001760,$310K,$16.78,$0M,403 kW,155502,628180
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Warehouse,San Francisco,1,167 kWh,21 kW,63818.6,234781,$83K,$16.78,$0M,106 kW,40961.6,159807
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Small Hotel,Seattle,1,0 kWh,0 kW,33745.1,442267,$0K,$2.32,$0M,0 kW,0,0
Schedule_MDC_-_Medium_Standard_General_Service_City,Outpatient,Seattle,1,0 kWh,0 kW,69748.4,837180,$0K,$2.32,$0M,0 kW,0,0
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Small Hotel,Boulder,1,11 kWh,6 kW,256686,236572,$6K,$18.90,$0M,1 kW,10377,669
SC-9_-_General_Large_Low_Tension_Service_[NYC],Strip Mall,New York,1,0 kWh,0 kW,0,584002,$91K,$21.82,$0M,189 kW,0,251837
LGS-1_-_Large_General_Service,Secondary School,LasVegas,1,0 kWh,0 kW,835724,1675160,$245K,$8.57,$0M,510 kW,103139,415440
Large_Light_&_Power_-_Primary_voltage_discount,Outpatient,Minneapolis,1,0 kWh,0 kW,0,912781,$0K,$7.55,$0M,0 kW,0,0
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Fast Food,San Francisco,1,300 kWh,33 kW,0,344665,$111K,$0.00,$0M,117 kW,0,275119.8
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Warehouse,Seattle,1,0 kWh,0 kW,12777.7,134034,$0K,$2.32,$0M,0 kW,0,0
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Retail Store,San Francisco,1,258 kWh,39 kW,193177,570619,$161K,$17.58,$0M,221 kW,95553.1,423470
Schedule_GL_(Secondary_Voltage),Retail Store,Baltimore,1,0 kWh,0 kW,81945,376143,$67K,$6.15,$0M,139 kW,8750.3,129750
LGS-1_-_Large_General_Service,Fast Food,LasVegas,1,0 kWh,0 kW,31506.4,111681,$17K,$8.57,$0M,35 kW,438.2,32011.4
Small_General_Service_Metered_(A10),Fast Food,Duluth,1,0 kWh,0 kW,0,173296,$18K,$0.00,$0M,38 kW,0,44031
BES-Medium_Load_Delivery_Class_(Secondary),Outpatient,Chicago,1,0 kWh,0 kW,210554,966539,$40K,$6.29,$0M,83 kW,5419,62329
3B_General_Power_TOU_(PNM-Owned_Transformer),Large Hotel,Albuquerque,1,179 kWh,78 kW,638342,1224780,$243K,$17.47,$0M,355 kW,111941,355860
Schedule_GS_Type_2_(Secondary),Small Office,Baltimore,1,0 kWh,0 kW,0,79396.3,$11K,$0.00,$0M,24 kW,0,23976.3
LGS-1_-_Large_General_Service,Primary School,LasVegas,1,0 kWh,0 kW,293432,642688,$109K,$8.57,$0M,227 kW,48317,183204
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Warehouse,San Francisco,1,207 kWh,23 kW,0,346584,$95K,$0.00,$0M,120 kW,0,258087.9
GSEDS-1_Primary_Non-Demand,Fast Food,Helena,1,0 kWh,0 kW,0,165276,$20K,$0.00,$0M,41 kW,0,47237
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Restaurant,Anaheim,1,49 kWh,12 kW,136807,250724,$57K,$30.87,$0M,90 kW,42138.7,102016
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Midrise Apartment,Seattle,1,0 kWh,0 kW,12223.7,151615,$0K,$2.32,$0M,0 kW,0,0
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Primary School,San Francisco,1,634 kWh,89 kW,761166,949958,$370K,$34.72,$0M,502 kW,421985,590835
OGS-TOU-NEM,Supermarket,LasVegas,1,0 kWh,0 kW,0,1168430,$203K,$0.00,$0M,422 kW,0,381252
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Warehouse,Atlanta,1,0 kWh,0 kW,0,162006,$8K,$0.00,$0M,16 kW,0,13424
OGS-TOU-NEM,Outpatient,LasVegas,1,0 kWh,0 kW,0,1004380,$174K,$0.00,$0M,363 kW,0,323425
BES-Large_Load_Delivery_Class_(Secondary),Midrise Apartment,Chicago,1,0 kWh,0 kW,40764.3,161657,$0K,$6.73,$0M,0 kW,0,0
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Midrise Apartment,San Francisco,1,419 kWh,48 kW,0,429769,$147K,$0.00,$0M,145 kW,0,333144.9
GSEDS-1_Secondary_Demand,Small Hotel,Helena,1,0 kWh,0 kW,142888,517452,$48K,$9.41,$0M,100 kW,0,95134
Schedule_MDD_-_Medium_Network_General_Service,Medium Office,Seattle,1,0 kWh,0 kW,118918,632005,$0K,$4.54,$0M,0 kW,0,0
GS-2_(S)_Large_General_Service_Secondary,Large Office,Fairbanks,1,736 kWh,170 kW,1629530,9586230,"$1,439K",$11.06,$1M,"2,590 kW",319610,3305240
GSEDS-1_Primary_Non-Demand,Medium Office,Helena,1,0 kWh,0 kW,0,827492,$113K,$0.00,$0M,235 kW,0,243173
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Supermarket,Los Angeles,1,384 kWh,74 kW,562018,1659890,$391K,$17.48,$0M,623 kW,217919,806171
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Restaurant,Atlanta,1,0 kWh,0 kW,0,265670,$30K,$0.00,$0M,63 kW,0,55820
SC-9_-_General_Large_Low_Tension_Service_[NYC],Restaurant,New York,1,0 kWh,0 kW,0,395597,$42K,$21.82,$0M,87 kW,0,119237
GSEDS-1_Primary_Demand,Warehouse,Helena,1,0 kWh,0 kW,53491.5,175060,$21K,$7.90,$0M,44 kW,4954.4,35951
Schedule_LGC_-_Large_Standard_General_Service_City,Hospital,Seattle,1,0 kWh,0 kW,316801,4529750,$0K,$2.08,$0M,0 kW,0,0
Power_and_Light_Medium_Schedule_PLM-11,Outpatient,Atlanta,1,0 kWh,0 kW,0,725026,$0K,$0.00,$0M,0 kW,0,0
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Fast Food,Anaheim,1,21 kWh,6 kW,70836.8,133816,$29K,$30.87,$0M,47 kW,19778.7,53257
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Small Office,San Francisco,1,50 kWh,7 kW,27798.1,101643,$30K,$16.78,$0M,41 kW,15857.8,67233.5
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),Large Hotel,San Francisco,1,"1,099 kWh",180 kW,804572,2429340,$559K,$17.58,$0M,664 kW,308416,1241160
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Primary School,San Francisco,1,566 kWh,76 kW,355228,1277000,$353K,$16.78,$0M,502 kW,181350,746219
E-36_Standard_Price_Plan_for_General_Service,Supermarket,Phoenix,1,0 kWh,0 kW,200579,1234930,$222K,$6.76,$0M,462 kW,23229,456863
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Midrise Apartment,San Francisco,1,122 kWh,18 kW,66161,284320,$59K,$16.78,$0M,70 kW,26102.3,125002
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Large Office,San Francisco,1,"4,294 kWh",632 kW,4220360,5458470,"$2,429K",$33.72,$1M,"3,205 kW",2397630,3726180
General_Service_(A14),Medium Office,Duluth,1,9 kWh,7 kW,379764,546556,$9K,$14.98,$0M,6 kW,10133,3910
BES-Small_Load_Delivery_Class_(Secondary),Midrise Apartment,Chicago,1,0 kWh,0 kW,37432.9,161657,$0K,$6.18,$0M,0 kW,0,0
Schedule_G_-_Secondary,Large Office,Baltimore,1,0 kWh,0 kW,0,7447200,"$1,085K",$0.00,$1M,"2,259 kW",0,2683640
GSEDS-1_Secondary_Non-Demand,Restaurant,Helena,1,0 kWh,0 kW,0,338916,$38K,$0.00,$0M,78 kW,0,101834
GS-2_(S)_Large_General_Service_Secondary,Primary School,Fairbanks,1,77 kWh,17 kW,253207,1587120,$201K,$11.06,$0M,377 kW,47582,472030
Schedule_G_-_Secondary,Secondary School,Baltimore,1,0 kWh,0 kW,0,2939660,$397K,$0.00,$0M,827 kW,0,940530
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Secondary School,Seattle,1,0 kWh,0 kW,147362,1458990,$0K,$2.32,$0M,0 kW,0,0
BES-Small_Load_Delivery_Class_(Secondary),Primary School,Chicago,1,0 kWh,0 kW,177835,636797,$36K,$6.18,$0M,76 kW,8874,56831
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Primary School,Seattle,1,0 kWh,0 kW,58053.5,628528,$0K,$2.32,$0M,0 kW,0,0
GSEDS-1_Primary_Non-Demand,Midrise Apartment,Helena,1,0 kWh,0 kW,0,224656,$19K,$0.00,$0M,39 kW,0,43990
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Small Office,New York,1,54 kWh,8 kW,69711.1,72971.6,$33K,$41.95,$0M,47 kW,36605.7,41344.5
A-6_Small_General_Service_TOU_Single_Phase,Small Hotel,San Francisco,1,817 kWh,101 kW,0,1389800,$318K,$0.00,$0M,336 kW,0,944372
Large_Light_&_Power_-_Primary_voltage_discount,Large Hotel,Minneapolis,1,0 kWh,0 kW,0,1371950,$0K,$7.55,$0M,0 kW,0,0
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Large Office,Seattle,1,0 kWh,0 kW,581365,4322940,$74K,$3.83,$0M,153 kW,12311,115020
Small_General_Service_Metered_(A10),Small Hotel,Duluth,1,0 kWh,0 kW,0,709329,$58K,$0.00,$0M,120 kW,0,136423
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Secondary School,Seattle,1,0 kWh,0 kW,147362,1455040,$0K,$2.32,$0M,0 kW,0,0
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Warehouse,Anaheim,1,38 kWh,9 kW,63099.4,174820,$48K,$13.20,$0M,78 kW,21626,110114.2
BES-Large_Load_Delivery_Class_(Secondary),Outpatient,Chicago,1,0 kWh,0 kW,225282,966539,$40K,$6.73,$0M,83 kW,5797,62329
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Primary School,Anaheim,1,463 kWh,81 kW,801982,805021,$328K,$38.02,$0M,466 kW,446038,458695
SC-9_-_General_Large_Low_Tension_Service_[NYC],Primary School,New York,1,0 kWh,0 kW,0,1246530,$167K,$21.82,$0M,347 kW,0,422790
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_A_(Under_2_kV),Secondary School,Anaheim,1,"1,075 kWh",187 kW,1337380,2695240,$834K,$15.57,$1M,"1,231 kW",644020,1822728
LGS-1_-_Large_General_Service,Large Hotel,LasVegas,1,0 kWh,0 kW,495121,1480860,$154K,$8.57,$0M,320 kW,0,288710
Small_General_Time-of-Day_Service_(A12),Small Office,Duluth,1,0 kWh,0 kW,0,85085.8,$14K,$0.00,$0M,28 kW,0,33938.3
Schedule_MDC_-_Medium_Standard_General_Service_City,Retail Store,Seattle,1,0 kWh,0 kW,25852.3,266096,$0K,$2.32,$0M,0 kW,0,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Secondary School,Seattle,1,0 kWh,0 kW,147362,1409630,$0K,$2.32,$0M,0 kW,0,0
3B_General_Power_TOU_(PNM-Owned_Transformer),Hospital,Albuquerque,1,464 kWh,213 kW,2129230,4477310,"$1,126K",$17.47,$0M,"1,936 kW",503830,1902870
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Restaurant,San Francisco,1,92 kWh,14 kW,73704.5,402636,$67K,$16.78,$0M,99 kW,23092.4,171545
BES-Small_Load_Delivery_Class_(Secondary),Medium Office,Chicago,1,0 kWh,0 kW,181991,592769,$10K,$6.18,$0M,21 kW,1723,15623
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Small Hotel,San Francisco,1,461 kWh,70 kW,383824,618162,$209K,$34.72,$0M,233 kW,194877,301451
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Small Hotel,San Francisco,1,336 kWh,56 kW,246273,762725,$173K,$17.58,$0M,207 kW,94154,388312
GSEDS-1_Secondary_Non-Demand,Supermarket,Helena,1,0 kWh,0 kW,0,2051790,$275K,$0.00,$0M,572 kW,0,752260
GSEDS-1_Secondary_Non-Demand,Fast Food,Helena,1,0 kWh,0 kW,0,193680,$21K,$0.00,$0M,44 kW,0,58243
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Hospital,LasVegas,1,0 kWh,0 kW,1662760,4159200,$758K,$16.30,$0M,"1,578 kW",205250,1254320
General_Service_(A14),Small Hotel,Duluth,1,0 kWh,0 kW,191137,398209,$0K,$14.98,$0M,0 kW,0,0
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Midrise Apartment,Anaheim,1,131 kWh,25 kW,143530,171793,$67K,$38.02,$0M,75 kW,68728.9,80096.4
Schedule_MDC_-_Medium_Standard_General_Service_City,Warehouse,Seattle,1,0 kWh,0 kW,12777.7,122758,$0K,$2.32,$0M,0 kW,0,0
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Retail Store,Anaheim,1,176 kWh,30 kW,128808,554336,$145K,$9.97,$0M,219 kW,54649.9,379396
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Secondary School,Boulder,1,114 kWh,48 kW,1287350,784612,$156K,$18.90,$0M,230 kW,183910,108016
BES-Large_Load_Delivery_Class_(Secondary),Large Office,Chicago,1,0 kWh,0 kW,1115840,3877110,$157K,$6.73,$0M,327 kW,34540,245900
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Primary School,Los Angeles,1,314 kWh,62 kW,491061,957089,$298K,$17.48,$0M,463 kW,270761,515241
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Supermarket,Seattle,1,0 kWh,0 kW,84094.8,1194410,$0K,$2.32,$0M,0 kW,0,0
Small_General_Service_Metered_(A10),Large Office,Duluth,1,0 kWh,0 kW,0,5712320,$779K,$0.00,$0M,"1,622 kW",0,1677600
Schedule_MDD_-_Medium_Network_General_Service,Strip Mall,Seattle,1,0 kWh,0 kW,51286.8,331303,$12K,$4.54,$0M,25 kW,2088.4,18678
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Medium Office,Anaheim,1,362 kWh,67 kW,559397,600770,$264K,$34.91,$0M,375 kW,282817,361690
Large_Light_&_Power_-_Primary_voltage_discount,Strip Mall,Minneapolis,1,0 kWh,0 kW,0,295036,$0K,$7.55,$0M,0 kW,0,0
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Primary School,Anaheim,1,388 kWh,72 kW,788992,666177,$299K,$36.38,$0M,433 kW,413821,359651
Small_General_Service_Metered_(A10),Retail Store,Duluth,1,0 kWh,0 kW,0,502035,$78K,$0.00,$0M,162 kW,0,183606
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Secondary School,Atlanta,1,0 kWh,0 kW,1069300,1691890,$141K,$15.66,$0M,293 kW,83996,187140
BES-Small_Load_Delivery_Class_(Secondary),Secondary School,Chicago,1,0 kWh,0 kW,514867,1563540,$80K,$6.18,$0M,166 kW,26252,124270
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Small Office,Atlanta,1,0 kWh,0 kW,27378.6,51037.2,$2K,$15.66,$0M,5 kW,1318.4,3188.4
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Strip Mall,Anaheim,1,176 kWh,31 kW,131973,558941,$146K,$9.97,$0M,220 kW,59088.1,381048
GSEDS-1_Primary_Demand,Outpatient,Helena,1,0 kWh,0 kW,264415,1088350,$165K,$7.90,$0M,344 kW,25505,308090
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Small Hotel,Phoenix,1,0 kWh,0 kW,106889,589592,$72K,$6.65,$0M,149 kW,1369,151977
GSEDS-1_Primary_Demand,Large Office,Helena,1,0 kWh,0 kW,1191160,4166100,$559K,$7.90,$0M,"1,164 kW",113580,999290
BES-Medium_Load_Delivery_Class_(Secondary),Hospital,Chicago,1,0 kWh,0 kW,958188,5216790,$68K,$6.29,$0M,143 kW,12683,107170
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Small Hotel,Anaheim,1,224 kWh,42 kW,198144,658171,$147K,$13.20,$0M,197 kW,57408,310097
Large_Light_&_Power_-_Primary_voltage_discount,Small Hotel,Minneapolis,1,0 kWh,0 kW,0,446713,$0K,$7.55,$0M,0 kW,0,0
2A_(Small_Power_Service),Small Office,Albuquerque,1,0 kWh,0 kW,0,89940.7,$14K,$0.00,$0M,29 kW,0,38947.6
Schedule_MDD_-_Medium_Network_General_Service,Primary School,Seattle,1,0 kWh,0 kW,113605,707625,$36K,$4.54,$0M,75 kW,7976,56485
A-6_Small_General_Service_TOU_Single_Phase,Hospital,San Francisco,1,"7,284 kWh",871 kW,0,16224000,"$3,351K",$0.00,$4M,"4,121 kW",0,11934940
3B_General_Power_TOU_(PNM-Owned_Transformer),Outpatient,Albuquerque,1,139 kWh,71 kW,444772,896443,$264K,$17.47,$0M,418 kW,172154,402794
LGS-3_Large_General_Service_(Secondary_Distribution_Voltage),Large Office,LasVegas,1,0 kWh,0 kW,1803260,3197920,$629K,$16.30,$0M,"1,309 kW",284680,969430
BES-Large_Load_Delivery_Class_(Secondary),Warehouse,Chicago,1,0 kWh,0 kW,46700.7,149727,$3K,$6.73,$0M,7 kW,661,5390
BES-Large_Load_Delivery_Class_(Secondary),Small Office,Chicago,1,0 kWh,0 kW,15091.8,52498.7,$2K,$6.73,$0M,4 kW,388.1,2795.3
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Midrise Apartment,Atlanta,1,0 kWh,0 kW,80574.5,162364,$0K,$15.66,$0M,0 kW,0,0
A-6_Small_General_Service_TOU_Single_Phase,Retail Store,San Francisco,1,369 kWh,48 kW,0,1003760,$200K,$0.00,$0M,266 kW,0,806334
